"winnerstate","n"
"Alabama","2"
"Alaska","2"
"Arizona","6"
"Arkansas","1"
"Australia","2"
"B.C.","2"
"California","76"
"Colorado","2"
"Connecticut","16"
"Delaware","1"
"District of Columbia","9"
"Florida","11"
"Georgia","4"
"Hawaii","2"
"Illinois","29"
"Indiana","1"
"Iowa","1"
"Kansas","1"
"Kentucky","4"
"Louisiana","1"
"Maine","3"
"Maryland","16"
"Massachusetts","21"
"Michigan","5"
"Minnesota","7"
"Mississippi","3"
"Missouri","4"
"Montana","1"
"Nebraska","1"
"Nevada","2"
"New Carolina","1"
"New Hampshire","4"
"New Jersey","17"
"New Mexico","3"
"New York","87"
"North Carolina","12"
"Ohio","9"
"Oklahoma","3"
"Ontario","8"
"Oregon","4"
"Pennsylvania","19"
"Rhode Island","6"
"South Carolina","1"
"Tennessee","3"
"Texas","11"
"Utah","4"
"Vermont","5"
"Virginia","27"
"Washington","10"
"Wisconsin","6"
"West Virginia","0"
"Idaho","0"
"North Dakota","0"
"South Dakota","0"
"Wyoming","0"
